,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,time,Fz
18.183,-6.41497,5.803229,550.11292,28.314553,12.664735,0.154615,-0.023022,0.05147,0.183,550.11292
18.184,-6.326917,5.625226,550.115383,28.322655,12.668654,0.171566,-0.023029,0.051485,0.184,550.115383
18.185,-6.327216,5.537147,550.457037,28.261179,12.715004,0.183712,-0.023099,0.051341,0.185,550.457037
18.186,-6.238573,5.537391,550.456523,28.261019,12.719321,0.16691,-0.023107,0.051341,0.186,550.456523
18.187,-6.327347,5.537242,550.800298,28.195698,12.71516,0.183747,-0.023085,0.05119,0.187,550.800298
18.188,-6.328196,5.447846,550.973588,28.167227,12.691877,0.171788,-0.023035,0.051123,0.188,550.973588
18.189,-6.328159,5.448103,551.144305,28.068792,12.715059,0.171815,-0.02307,0.050928,0.189,551.144305
18.19,-6.239009,5.448133,550.972005,28.101403,12.742327,0.155066,-0.023127,0.051003,0.19,550.972005
18.191,-6.32859,5.447219,551.65962,28.101801,12.784266,0.172113,-0.023174,0.05094,0.191,551.65962
18.192,-6.41709,5.358208,551.486637,28.07344,12.802827,0.143357,-0.023215,0.050905,0.192,551.486637
18.193,-6.417324,5.535987,551.657902,28.032272,12.78009,0.143194,-0.023167,0.050815,0.193,551.657902
18.194,-6.417693,5.445874,552.002801,28.036721,12.825915,0.131482,-0.023235,0.050791,0.194,552.002801
18.195,-6.506119,5.448184,552.170157,28.004045,12.799281,0.138507,-0.02318,0.050716,0.195,552.170157
18.196,-6.505434,5.535899,552.51409,27.934527,12.845377,0.126669,-0.023249,0.050559,0.196,552.51409
18.197,-6.418018,5.535293,552.859739,27.934321,12.849609,0.143562,-0.023242,0.050527,0.197,552.859739
18.198,-6.418613,5.535808,553.200988,27.934546,12.849893,0.10997,-0.023228,0.050496,0.198,553.200988
18.199,-6.417937,5.535755,552.856658,27.934362,12.895869,0.110015,-0.023326,0.050527,0.199,552.856658
18.2,-6.418708,5.62326,553.545366,27.930597,12.895932,0.098148,-0.023297,0.050458,0.2,553.545366
18.201,-6.41877,5.712488,553.715782,27.959157,12.919314,0.110159,-0.023332,0.050494,0.201,553.715782
18.202,-6.50778,5.712118,554.058933,27.893741,12.961228,0.127092,-0.023393,0.050344,0.202,554.058933
18.203,-6.508184,5.711735,554.230853,27.926601,12.984278,0.127197,-0.023428,0.050388,0.203,554.230853
18.204,-6.420182,5.888102,554.404091,27.885473,12.965409,0.086312,-0.023386,0.050298,0.204,554.404091
18.205,-6.595928,5.977572,554.400848,27.88169,13.003348,0.09832,-0.023455,0.050292,0.205,554.400848
18.206,-6.508343,5.977128,554.573953,27.848529,13.030607,0.115205,-0.023497,0.050216,0.206,554.573953
18.207,-6.508915,5.976584,554.918417,27.914343,13.030631,0.115318,-0.023482,0.050304,0.207,554.918417
18.208,-6.508606,6.064418,555.090874,27.877535,13.05362,0.103392,-0.023516,0.050222,0.208,555.090874
18.209,-6.597912,6.152642,555.433621,27.87382,13.049468,0.074587,-0.023494,0.050184,0.209,555.433621
18.21,-6.508928,6.242497,555.431603,27.869362,13.054117,0.06969,-0.023503,0.050176,0.21,555.431603
18.211,-6.508759,6.242659,555.259059,27.836407,13.077143,0.069681,-0.023551,0.050132,0.211,555.259059
18.212,-6.50923,6.33023,555.431962,27.865168,13.100075,0.057771,-0.023585,0.050168,0.212,555.431962
18.213,-6.597558,6.330668,555.430019,27.865463,13.095942,0.04093,-0.023578,0.050169,0.213,555.430019
18.214,-6.597115,6.508394,555.256954,27.82411,13.119182,0.040812,-0.023627,0.05011,0.214,555.256954
18.215,-6.597178,6.597622,555.427371,27.852671,13.142564,0.052823,-0.023662,0.050146,0.215,555.427371
18.216,-6.509191,6.507573,555.430817,27.856675,13.146365,0.057759,-0.023669,0.050153,0.216,555.430817
18.217,-6.59799,6.595583,555.601777,27.885731,13.165164,0.029007,-0.023695,0.05019,0.217,555.601777
18.218,-6.420678,6.684999,555.601702,27.880978,13.173947,0.040952,-0.023711,0.050182,0.218,555.601702
18.219,-6.420275,6.685382,555.429782,27.848118,13.150897,0.040847,-0.023677,0.050138,0.219,555.429782
18.22,-6.509073,6.773391,555.600742,27.877174,13.169696,0.012096,-0.023704,0.050175,0.22,555.600742
18.221,-6.509449,6.773511,555.429267,27.909883,13.146589,0.012007,-0.023669,0.050249,0.221,555.429267
18.222,-6.509239,6.863217,555.771025,27.840104,13.147077,0.023948,-0.023656,0.050093,0.222,555.771025
18.223,-6.509643,6.862834,555.942945,27.872964,13.170127,0.024053,-0.02369,0.050136,0.223,555.942945
18.224,-6.50971,6.950788,555.943928,27.868865,13.170009,0.012038,-0.023689,0.050129,0.224,555.943928
18.225,-6.509646,7.038646,555.601649,27.930246,13.169735,-0.000012,-0.023704,0.05027,0.225,555.601649
18.226,-6.509512,7.128538,555.256127,27.925703,13.169985,0.011797,-0.023719,0.050293,0.226,555.256127
18.227,-6.510019,7.128753,555.427913,27.892932,13.147034,0.011743,-0.02367,0.050219,0.227,555.427913
18.228,-6.420696,7.218231,555.426653,27.954199,13.151609,0.006909,-0.023678,0.050329,0.228,555.426653
18.229,-6.332671,7.305526,555.428955,27.94971,13.2017,0.011832,-0.023768,0.050321,0.229,555.428955
18.23,-6.420254,7.395958,555.253588,27.912847,13.174849,0.006791,-0.023728,0.05027,0.23,555.253588
18.231,-6.33233,7.395137,555.427451,27.945411,13.202032,0.023738,-0.023769,0.050313,0.231,555.427451
18.232,-6.332397,7.48309,555.428434,27.941312,13.201914,0.011723,-0.023769,0.050306,0.232,555.428434
18.233,-6.332801,7.482708,555.600354,27.974172,13.224964,0.011828,-0.023803,0.050349,0.233,555.600354
18.234,-6.332264,7.572982,555.082911,27.936769,13.202165,0.023532,-0.023784,0.050329,0.234,555.082911
18.235,-6.33186,7.573365,554.910991,27.903909,13.179115,0.023427,-0.02375,0.050285,0.235,554.910991
18.236,-6.242917,7.573675,554.394672,27.936275,13.206302,0.006581,-0.023821,0.050391,0.236,554.394672
18.237,-6.243997,7.573346,554.910922,27.969319,13.183375,0.006641,-0.023758,0.050403,0.237,554.910922
18.238,-6.332135,7.6616,554.567955,27.899565,13.178916,0.011315,-0.023764,0.050309,0.238,554.567955
18.239,-6.242853,7.574434,554.221994,27.83769,13.183327,0.006414,-0.023787,0.050228,0.239,554.221994
18.24,-6.154592,7.66195,554.22492,27.833296,13.187342,0.011241,-0.023794,0.05022,0.24,554.22492
18.241,-6.242412,7.662173,554.051191,27.866362,13.20616,-0.005547,-0.023836,0.050296,0.241,554.051191
18.242,-6.241801,7.574262,554.049139,27.804796,13.252411,0.006548,-0.023919,0.050185,0.242,554.049139
18.243,-6.153849,7.573943,553.879607,27.837211,13.233437,0.023301,-0.023892,0.050259,0.243,553.879607
18.244,-6.241605,7.574926,553.5332,27.771692,13.229279,0.006346,-0.0239,0.050172,0.244,553.5332
18.245,-6.241032,7.57547,553.188736,27.705878,13.229255,0.006233,-0.023915,0.050084,0.245,553.188736
18.246,-6.153422,7.48554,553.020708,27.742591,13.209949,0.011081,-0.023887,0.050166,0.246,553.020708
18.247,-6.152913,7.575313,552.84666,27.705338,13.233307,0.022978,-0.023937,0.050114,0.247,552.84666
18.248,-6.152338,7.487144,552.673891,27.742207,13.256376,0.035046,-0.023986,0.050196,0.248,552.673891
18.249,-6.152338,7.487144,552.673891,27.742207,13.256376,0.035046,-0.023986,0.050196,0.249,552.673891
18.25,-6.15217,7.487306,552.501347,27.709252,13.279402,0.035037,-0.024035,0.050152,0.25,552.501347
18.251,-6.15207,7.398335,552.501648,27.582257,13.279202,0.023054,-0.024035,0.049922,0.251,552.501648
