,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,Time
2.68,-19.828402,26.569509,429.806627,-27.689875,-18.509306,-2.968071,0.043064,-0.064424,0.092
2.681,-26.354057,40.083717,427.1601,-27.633036,-18.318819,-1.258784,0.042885,-0.06469,0.093
2.682,-19.971752,47.000927,424.630785,-27.553496,-17.984376,-0.829699,0.042353,-0.064888,0.094
2.683,-17.776719,27.274702,422.078779,-27.633322,-17.607889,-3.06578,0.041717,-0.06547,0.095
2.684,-25.642514,29.077371,419.273708,-27.64321,-17.378112,-1.227421,0.041448,-0.065931,0.096
2.685,-23.231513,43.983268,417.890831,-27.568236,-17.109835,-1.084093,0.040943,-0.06597,0.097
2.686,-16.782907,31.088609,416.22156,-27.6871,-16.775603,-3.186915,0.040305,-0.06652,0.098
2.687,-22.896343,21.617753,413.807416,-27.628743,-16.520033,-1.147205,0.039922,-0.066767,0.099
2.688,-25.437548,36.437679,411.518633,-27.634397,-16.281964,-1.256565,0.039566,-0.067152,0.1
2.689,-17.824277,34.282452,409.49343,-27.740023,-15.926505,-3.211971,0.038893,-0.067742,0.101
2.69,-19.700198,18.685947,406.78876,-27.666427,-15.705095,-1.007646,0.038607,-0.068012,0.102
2.691,-25.345395,26.851176,404.998158,-27.774352,-15.507333,-1.358263,0.03829,-0.068579,0.103
2.692,-19.3122,34.463439,403.623282,-27.813353,-15.16963,-3.14677,0.037584,-0.068909,0.104
2.693,-16.67513,19.749964,401.816851,-27.826116,-14.846592,-0.834049,0.036949,-0.069251,0.105
2.694,-23.217727,17.973099,399.3536,-27.854942,-14.61107,-1.327677,0.036587,-0.06975,0.106
2.695,-21.071868,30.383121,397.767329,-27.88209,-14.3845,-2.937335,0.036163,-0.070096,0.107
2.696,-15.152993,22.056873,395.461495,-27.844871,-14.059431,-0.577644,0.035552,-0.070411,0.108
2.697,-19.052009,12.288558,393.550313,-27.993712,-13.775421,-1.24854,0.035003,-0.071131,0.109
2.698,-20.888355,23.195628,392.279624,-28.071685,-13.555583,-2.622546,0.034556,-0.07156,0.11
2.699,-14.693544,23.831918,390.643783,-28.064708,-13.253883,-0.320761,0.033928,-0.071842,0.111
2.7,-14.79322,10.597676,388.599937,-28.157377,-12.953758,-1.109175,0.033334,-0.072459,0.112
2.701,-19.291554,14.76516,386.807898,-28.206432,-12.752428,-2.249351,0.032968,-0.072921,0.113
2.702,-14.944943,22.23722,384.797556,-28.25556,-12.485821,0.052885,0.032448,-0.07343,0.114
2.703,-10.884232,11.393779,383.983404,-28.437793,-12.145653,-0.913753,0.031631,-0.07406,0.115
2.704,-15.215998,7.840698,382.730288,-28.549823,-11.874871,-1.79716,0.031027,-0.074595,0.116
2.705,-14.493147,17.89113,381.709569,-28.579556,-11.639557,0.464839,0.030493,-0.074873,0.117
2.706,-14.493147,17.89113,381.709569,-28.579556,-11.639557,0.464839,0.030493,-0.074873,0.118
2.707,-14.493147,17.89113,381.709569,-28.579556,-11.639557,0.464839,0.030493,-0.074873,0.119
2.708,-13.24809,10.969101,377.779641,-28.948422,-10.781969,0.916725,0.02854,-0.076628,0.12
2.709,-7.135601,13.256239,377.121039,-29.131829,-10.445757,-0.36207,0.027699,-0.077248,0.121
2.71,-5.993696,2.691675,377.312274,-29.387868,-10.149443,-0.724677,0.026899,-0.077887,0.122
2.711,-10.235337,4.222799,376.097102,-29.558922,-9.90794,1.369052,0.026344,-0.078594,0.123
2.712,-6.50422,11.214531,375.576603,-29.72782,-9.611716,-0.090332,0.025592,-0.079152,0.124
2.713,-2.350549,3.489741,374.931555,-29.96352,-9.283441,-0.214427,0.02476,-0.079917,0.125
2.714,-6.423628,-1.280437,374.243569,-30.131518,-9.063365,1.770206,0.024218,-0.080513,0.126
2.715,-5.611101,6.600941,374.553202,-30.432639,-8.790184,0.235651,0.023468,-0.081251,0.127
2.716,0.141567,4.467327,374.59942,-30.609411,-8.424938,0.303079,0.022491,-0.081712,0.128
2.717,-1.902356,-4.124286,374.284137,-30.863689,-8.20492,2.179946,0.021922,-0.082461,0.129
2.718,-4.189625,0.563907,374.571414,-31.136524,-7.899067,0.53903,0.021088,-0.083126,0.13
2.719,0.949586,3.935668,374.774619,-31.343153,-7.62578,0.768496,0.020348,-0.083632,0.131
2.72,2.002072,-4.836806,374.825531,-31.596261,-7.304056,2.538088,0.019487,-0.084296,0.132
2.721,-1.618557,-5.295958,375.283996,-31.982715,-6.998462,0.825663,0.018648,-0.085223,0.133
2.722,1.313057,1.363541,376.320803,-32.306838,-6.711002,1.230665,0.017833,-0.085849,0.134
