,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
37,0.00502817,-0.10815442,-11.21956145,8.90760994,576.9347031,-62.39800731,-2.90107544,-2.28885733,0.30833
38,0.00515509,-0.10785208,-12.21114887,10.35880276,566.6097975,-61.11016812,-2.92103291,-2.39182151,0.31667
39,0.00492,-0.107571,-13.230589,11.361791,557.558164,-59.977242,-2.743033,-2.522591,0.325
40,0.00463046,-0.10718618,-13.69416604,11.60112877,549.6061598,-58.91022754,-2.54481372,-2.12483455,0.33333
41,0.00467912,-0.10716394,-13.57092682,11.07138396,543.1950584,-58.21077314,-2.54154633,-1.89046008,0.34167
42,0.004684,-0.107402,-12.771594,10.128803,538.169023,-57.800352,-2.520715,-1.532974,0.35
43,0.00438991,-0.10768984,-11.6796062,8.61834388,535.0907975,-57.62393632,-2.34881554,-1.52078958,0.35833
44,0.00416343,-0.10802753,-10.4385376,6.81461587,533.7861296,-57.66355982,-2.2222029,-1.3076488,0.36667
45,0.003937,-0.108185,-9.672789,5.869722,533.738734,-57.742445,-2.1015,-1.100429,0.375
46,0.00367514,-0.108316,-8.87748814,4.62777607,534.4957974,-57.89430191,-1.96452862,-0.87143046,0.38333
47,0.00356098,-0.10857828,-8.96806883,3.56218434,535.7576318,-58.17169609,-1.90783793,-0.87734183,0.39167
48,0.003871,-0.109002,-9.238595,2.409866,537.868544,-58.628658,-2.082241,-1.069249,0.4
49,0.00454393,-0.10949383,-9.42327675,1.22740584,541.2968502,-59.26882766,-2.45955528,-1.45908354,0.40833
50,0.0056923,-0.10979549,-9.52333745,0.40052734,544.9112596,-59.82886482,-3.1018923,-1.64892765,0.41667
51,0.007069,-0.109605,-9.268868,0.819279,548.524357,-60.120945,-3.877625,-1.667059,0.425
52,0.00824593,-0.10957836,-8.80687402,1.26851852,551.0540325,-60.38358633,-4.54389344,-1.5262855,0.43333
53,0.00934992,-0.10944489,-8.2254379,1.47930687,552.7260238,-60.49318182,-5.16786147,-1.51303581,0.44167
54,0.010349,-0.109564,-7.349673,1.097247,554.56687,-60.760418,-5.73933,-1.601827,0.45
55,0.01126657,-0.10969786,-6.53134586,0.80274206,555.6658781,-60.95553598,-6.26040503,-1.66120339,0.45833
56,0.01177377,-0.11001503,-5.97425603,0.53893276,555.558646,-61.11994242,-6.54097965,-1.6521364,0.46667
57,0.012258,-0.110406,-5.594255,0.040146,555.279142,-61.305891,-6.806836,-1.512982,0.475
58,0.01263793,-0.11042159,-5.06591288,-0.40133798,554.8283739,-61.26503956,-7.0118842,-1.42066071,0.48333
59,0.01266343,-0.11029305,-4.47567546,-0.51967993,554.5511729,-61.16295682,-7.02258321,-1.34071497,0.49167
