Frame number,5302
First frame,1
Point frequency,120
Analog frequency,120

Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.733333,124.218,-62.6954,1114.6,136.428,-29.7983,941.586,120.349,-52.2867,434.43,137.085,-163.244,33.7141,108.683,-208.116,-7.1466,170.121,-49.8115,-24.1642,117.969,39.3886,-22.2259
0.741667,123.862,-62.4815,1114.56,136.097,-29.5543,941.617,120.826,-51.8593,434.617,137.056,-163.198,33.7378,108.615,-208.322,-7.32094,170.069,-49.8061,-24.1145,118.036,39.4155,-22.24
0.75,123.592,-62.2352,1114.51,136.036,-29.3611,941.698,120.518,-51.8889,434.511,137.084,-163.241,33.7111,108.437,-208.325,-7.19148,170.169,-49.8053,-24.1446,118.069,39.2991,-22.2321
0.758333,123.398,-61.9339,1114.43,135.529,-29.1952,941.546,120.442,-51.8358,434.526,137.042,-163.209,33.7207,108.585,-208.292,-7.27504,170.056,-49.7935,-24.1006,118.029,39.4599,-22.1802
0.766667,123.091,-61.6968,1114.4,135.323,-28.9255,941.486,120.395,-51.7436,434.612,137.007,-163.149,33.764,108.571,-208.375,-7.34967,170.111,-49.7485,-24.1593,117.989,39.4049,-22.2663
0.775,122.846,-61.4337,1114.33,135.011,-28.7787,941.424,120.006,-51.8693,434.407,137.021,-163.173,33.7274,108.553,-208.298,-7.29895,170.113,-49.7839,-24.1674,117.978,39.3799,-22.2855
0.783333,122.492,-61.2267,1114.28,134.925,-28.5098,941.356,120.106,-51.747,434.525,137.007,-163.143,33.7332,108.517,-208.282,-7.19458,170.088,-49.7881,-24.1594,117.984,39.3336,-22.3138
0.791667,122.209,-60.9868,1114.23,134.639,-28.377,941.329,119.544,-51.8811,434.31,137.061,-163.177,33.704,108.55,-208.274,-7.2993,170.07,-49.7367,-24.1053,117.974,39.4618,-22.2249
0.8,122.018,-60.7148,1114.11,134.399,-28.1335,941.271,119.615,-51.7243,434.334,137.048,-163.157,33.6814,108.583,-208.258,-7.24113,170.095,-49.7702,-24.1154,117.927,39.4001,-22.2936
0.808333,121.781,-60.4356,1114,133.978,-28.3301,941.08,119.709,-51.6173,434.555,137.012,-163.125,33.7353,108.571,-208.32,-7.30705,170.015,-49.7922,-24.1044,117.928,39.4288,-22.2318
