Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.36,-2.980713,-0.611899,550.802791,-42.470995,1.614127,-0.031126,-0.00293,-0.077107
0.361,-2.89176,-0.612247,550.630387,-42.503679,1.595129,-0.105597,-0.002897,-0.077191
0.362,-2.891958,-0.701027,550.461878,-42.467511,1.664171,0.03142,-0.003023,-0.077149
0.363,-2.803069,-0.789233,550.631752,-42.561576,1.645447,-0.031002,-0.002988,-0.077296
0.364,-2.802655,-0.790423,550.459995,-42.52847,1.668132,-0.088513,-0.00303,-0.07726
0.365,-2.89071,-0.966335,550.116641,-42.520768,1.710108,0.043572,-0.003109,-0.077294
0.366,-2.889852,-1.055598,550.115377,-42.516273,1.756019,-0.001835,-0.003192,-0.077286
0.367,-2.712908,-1.14472,550.115852,-42.512292,1.764322,-0.047345,-0.003207,-0.077279
0.368,-2.889016,-1.14263,549.770034,-42.512694,1.802379,0.067789,-0.003278,-0.077328
0.369,-2.800976,-1.233133,549.943597,-42.475264,1.783073,-0.018475,-0.003242,-0.077236
0.37,-2.712026,-1.323055,549.943652,-42.471158,1.879192,-0.046945,-0.003417,-0.077228
0.371,-2.80099,-1.321134,550.115893,-42.504441,1.852455,0.084933,-0.003367,-0.077265
0.372,-2.800159,-1.499325,550.113675,-42.495511,1.898218,-0.006025,-0.003451,-0.077249
0.373,-2.799891,-1.501036,549.771831,-42.495495,1.943744,-0.0299,-0.003536,-0.077297
0.374,-2.888281,-1.587284,549.771304,-42.491908,1.940076,0.114046,-0.003529,-0.07729
0.375,-2.888024,-1.677307,549.941855,-42.519848,1.96277,0.01102,-0.003569,-0.077317
0.376,-2.798839,-1.767007,549.942533,-42.515647,2.012813,-0.017545,-0.00366,-0.077309
0.377,-2.799579,-1.765842,549.772832,-42.48384,2.036129,0.131235,-0.003704,-0.077275
0.378,-2.887246,-1.855044,549.769521,-42.544344,2.03164,0.011263,-0.003695,-0.077386
0.379,-2.887246,-1.855044,549.769521,-42.544344,2.03164,0.011263,-0.003695,-0.077386
0.38,-2.887429,-1.943207,550.11436,-42.540566,2.077996,0.114679,-0.003777,-0.07733
0.381,-2.97575,-1.945615,549.943147,-42.506965,2.096098,0.016407,-0.003811,-0.077293
0.382,-2.975891,-2.033288,549.598145,-42.503111,2.096135,0.028324,-0.003814,-0.077335
0.383,-2.975225,-2.032055,549.769695,-42.470862,2.165774,0.1437,-0.003939,-0.077252
0.384,-2.975411,-2.034005,549.769754,-42.470191,2.165243,0.028571,-0.003938,-0.077251
0.385,-2.975659,-2.122641,549.771228,-42.466228,2.165176,0.07423,-0.003938,-0.077243
0.386,-3.152195,-2.031861,549.768267,-42.470408,2.157324,0.14366,-0.003924,-0.077251
0.387,-3.062451,-2.033518,549.595581,-42.502694,2.184118,0.011767,-0.003974,-0.077334
0.388,-3.062663,-2.034798,549.598172,-42.4372,2.229934,0.045569,-0.004057,-0.077215
0.389,-3.150977,-2.121859,549.425129,-42.466232,2.249026,0.131942,-0.004093,-0.077292
0.39,-3.150655,-2.124023,549.253403,-42.43279,2.271446,0.016867,-0.004136,-0.077255
0.391,-3.239227,-2.210947,549.422367,-42.395872,2.290746,0.069708,-0.004169,-0.077164
0.392,-3.328118,-2.299827,549.424355,-42.39175,2.286362,0.132169,-0.004161,-0.077157
0.393,-3.239488,-2.212083,549.594941,-42.362582,2.267455,0.012153,-0.004126,-0.07708
0.394,-3.416197,-2.210753,549.420939,-42.395418,2.282296,0.069669,-0.004154,-0.077164
0.395,-3.327338,-2.299564,549.42391,-42.457319,2.286419,0.132153,-0.004161,-0.077276
0.396,-3.238844,-2.213913,549.424572,-42.395276,2.336089,-0.011634,-0.004252,-0.077163
0.397,-3.326986,-2.211525,549.42257,-42.395652,2.332487,0.086653,-0.004245,-0.077164
0.398,-3.415797,-2.211931,549.595629,-42.362538,2.305143,0.103464,-0.004194,-0.077079
0.399,-3.415747,-2.301672,549.422161,-42.390723,2.327756,0.000341,-0.004237,-0.077155
0.4,-3.415654,-2.300698,549.422131,-42.391058,2.328022,0.057905,-0.004237,-0.077156
0.401,-3.50444,-2.212175,549.596143,-42.362379,2.300826,0.120266,-0.004186,-0.077079
0.402,-3.50371,-2.212682,549.421929,-42.329137,2.323696,0.029111,-0.004229,-0.077043
0.403,-3.592327,-2.123998,549.423397,-42.333412,2.319526,0.091463,-0.004222,-0.077051
0.404,-3.591986,-2.034387,549.421893,-42.337711,2.319858,0.103369,-0.004222,-0.077059
0.405,-3.592104,-2.12429,549.42097,-42.332941,2.319444,0.000255,-0.004222,-0.07705
0.406,-3.592495,-2.124159,549.595941,-42.300457,2.2965,0.091471,-0.004179,-0.076966
